name,path,width,height,bytes,modified_iso,reason
"ChatGPT Image May 23, 2026, 11_09_11 AM.png","C:\Users\saint\Downloads\ChatGPT Image May 23, 2026, 11_09_11 AM.png",1402,1122,2154354,2026-05-23T11:09:11,"hors projet, sensible, doublon ou a verifier"
246f9932-7bc9-4fc7-b8ed-5db5fcec0d72.png,C:\Users\saint\Downloads\246f9932-7bc9-4fc7-b8ed-5db5fcec0d72.png,1536,1024,2484826,2026-05-11T22:42:55,"hors projet, sensible, doublon ou a verifier"
"ChatGPT Image May 11, 2026, 10_39_08 PM.png","C:\Users\saint\Downloads\ChatGPT Image May 11, 2026, 10_39_08 PM.png",1536,1024,2484826,2026-05-11T22:39:08,"hors projet, sensible, doublon ou a verifier"
FB_IMG_1778010106868.jpg,C:\Users\saint\Downloads\FB_IMG_1778010106868.jpg,2048,1365,124245,2026-05-06T01:35:38,"hors projet, sensible, doublon ou a verifier"
LogoIMG-20260502-WA0118.jpg,C:\Users\saint\Downloads\LogoIMG-20260502-WA0118.jpg,1024,1008,95513,2026-05-05T23:47:27,"hors projet, sensible, doublon ou a verifier"
attestation-dom (1).jpg,C:\Users\saint\Downloads\attestation-dom (1).jpg,1031,1532,918064,2026-03-27T11:52:37,"hors projet, sensible, doublon ou a verifier"
SMGEAG STE ANNE 02_2025 (1).jpg,C:\Users\saint\Downloads\SMGEAG STE ANNE 02_2025 (1).jpg,1581,1599,192793,2026-03-21T13:10:55,"hors projet, sensible, doublon ou a verifier"
attestation-dom.jpg,C:\Users\saint\Downloads\attestation-dom.jpg,1031,1532,918064,2026-03-21T13:02:31,"hors projet, sensible, doublon ou a verifier"
SMGEAG STE ANNE 02_2025.jpg,C:\Users\saint\Downloads\SMGEAG STE ANNE 02_2025.jpg,1581,1599,192793,2026-03-19T19:37:06,"hors projet, sensible, doublon ou a verifier"
IMG_20260205_134759.jpg,C:\Users\saint\Downloads\IMG_20260205_134759.jpg,2887,4083,1050402,2026-02-23T13:57:33,"hors projet, sensible, doublon ou a verifier"
IMG_20260205_134944.jpg,C:\Users\saint\Downloads\IMG_20260205_134944.jpg,2773,3875,6655990,2026-02-23T13:57:22,"hors projet, sensible, doublon ou a verifier"
IMG_20260205_135233.jpg,C:\Users\saint\Downloads\IMG_20260205_135233.jpg,2744,3776,5790460,2026-02-23T13:57:17,"hors projet, sensible, doublon ou a verifier"
face (1).jpg,C:\Users\saint\Downloads\face (1).jpg,1080,1920,50460,2026-01-15T23:44:51,"hors projet, sensible, doublon ou a verifier"
face.jpg,C:\Users\saint\Downloads\face.jpg,1080,1920,50460,2026-01-15T23:44:51,"hors projet, sensible, doublon ou a verifier"
IMG-20251205-WA0019.jpg,C:\Users\saint\Downloads\IMG-20251205-WA0019.jpg,1076,1600,192063,2025-12-05T18:53:44,"hors projet, sensible, doublon ou a verifier"
1000060730.jpg,C:\Users\saint\Downloads\1000060730.jpg,3060,4080,2372376,2025-10-24T11:55:02,"hors projet, sensible, doublon ou a verifier"
1000060729.jpg,C:\Users\saint\Downloads\1000060729.jpg,3060,4080,4887001,2025-10-24T11:55:00,"hors projet, sensible, doublon ou a verifier"
téléchargement.png,C:\Users\saint\Downloads\téléchargement.png,225,225,3711,2025-10-21T20:55:47,"hors projet, sensible, doublon ou a verifier"
Rapport  RAPPORT.jpg,C:\Users\saint\Downloads\Rapport  RAPPORT.jpg,793,879,50379,2025-07-21T09:35:51,"hors projet, sensible, doublon ou a verifier"
photo cv ludo.jpg,C:\Users\saint\Downloads\photo cv ludo.jpg,942,1536,131036,2025-06-20T20:42:39,"hors projet, sensible, doublon ou a verifier"
"ChatGPT Image May 17, 2025, 08_40_45 PM.png","C:\Users\saint\Downloads\ChatGPT Image May 17, 2025, 08_40_45 PM.png",1024,1024,1617315,2025-05-17T20:40:45,"hors projet, sensible, doublon ou a verifier"
IMG_20250422_162006.jpg,C:\Users\saint\Downloads\IMG_20250422_162006.jpg,2690,3801,5092711,2025-05-15T15:05:12,"hors projet, sensible, doublon ou a verifier"
"ChatGPT Image May 9, 2025, 04_02_54 PM.png","C:\Users\saint\Downloads\ChatGPT Image May 9, 2025, 04_02_54 PM.png",0,0,489,2025-05-09T16:02:55,"hors projet, sensible, doublon ou a verifier"
"ChatGPT Image May 9, 2025, 04_10_19 AM.png","C:\Users\saint\Downloads\ChatGPT Image May 9, 2025, 04_10_19 AM.png",1024,1536,2563773,2025-05-09T04:10:22,"hors projet, sensible, doublon ou a verifier"
"ChatGPT Image May 8, 2025, 02_23_12 PM.png","C:\Users\saint\Downloads\ChatGPT Image May 8, 2025, 02_23_12 PM.png",1024,1536,2812137,2025-05-08T14:23:14,"hors projet, sensible, doublon ou a verifier"
"ChatGPT Image May 8, 2025, 02_18_46 PM.png","C:\Users\saint\Downloads\ChatGPT Image May 8, 2025, 02_18_46 PM.png",1024,1536,2928434,2025-05-08T14:18:48,"hors projet, sensible, doublon ou a verifier"
"ChatGPT Image May 8, 2025, 02_11_40 PM.png","C:\Users\saint\Downloads\ChatGPT Image May 8, 2025, 02_11_40 PM.png",1024,1024,1827637,2025-05-08T14:11:40,"hors projet, sensible, doublon ou a verifier"
IMG-20250505-WA0029.jpg,C:\Users\saint\Downloads\IMG-20250505-WA0029.jpg,1200,1600,180649,2025-05-06T03:56:36,"hors projet, sensible, doublon ou a verifier"
IMG-20250505-WA0030.jpg,C:\Users\saint\Downloads\IMG-20250505-WA0030.jpg,1200,1600,158050,2025-05-06T03:56:30,"hors projet, sensible, doublon ou a verifier"
20250429_133114.jpg,C:\Users\saint\Downloads\20250429_133114.jpg,4000,3000,7917344,2025-05-06T03:52:00,"hors projet, sensible, doublon ou a verifier"
20250429_133320.jpg,C:\Users\saint\Downloads\20250429_133320.jpg,4000,3000,8925478,2025-05-06T03:51:46,"hors projet, sensible, doublon ou a verifier"
20250429_132943.jpg,C:\Users\saint\Downloads\20250429_132943.jpg,4000,3000,8944245,2025-05-06T03:51:09,"hors projet, sensible, doublon ou a verifier"
20250429_131709.jpg,C:\Users\saint\Downloads\20250429_131709.jpg,4000,3000,8822836,2025-05-06T03:50:13,"hors projet, sensible, doublon ou a verifier"
IMG-20250505-WA0027.jpg,C:\Users\saint\Downloads\IMG-20250505-WA0027.jpg,1200,1600,203181,2025-05-06T03:35:39,"hors projet, sensible, doublon ou a verifier"
Screenshot_20250505_213127_Chrome.jpg,C:\Users\saint\Downloads\Screenshot_20250505_213127_Chrome.jpg,1080,2340,547044,2025-05-06T03:35:23,"hors projet, sensible, doublon ou a verifier"
IMG-20250505-WA0020.jpg,C:\Users\saint\Downloads\IMG-20250505-WA0020.jpg,1200,1600,141283,2025-05-06T03:34:57,"hors projet, sensible, doublon ou a verifier"
"ChatGPT Image Apr 22, 2025, 11_21_51 PM.png","C:\Users\saint\Downloads\ChatGPT Image Apr 22, 2025, 11_21_51 PM.png",1536,1024,1539460,2025-04-22T23:21:51,"hors projet, sensible, doublon ou a verifier"
"ChatGPT Image Apr 22, 2025, 11_20_48 PM.png","C:\Users\saint\Downloads\ChatGPT Image Apr 22, 2025, 11_20_48 PM.png",1536,1024,1539460,2025-04-22T23:20:48,"hors projet, sensible, doublon ou a verifier"
"ChatGPT Image Apr 22, 2025, 11_14_07 PM.png","C:\Users\saint\Downloads\ChatGPT Image Apr 22, 2025, 11_14_07 PM.png",1536,1024,1484185,2025-04-22T23:14:07,"hors projet, sensible, doublon ou a verifier"
